,LapTimeZScore,IsPitLap,Compound,TyreLife,FreshTyre,LapNumber,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundNumeric
845,-0.4208885032580803,False,C2,32,True,50,30.4,46,990.0,False,36.8,106,5.8,2
846,-0.1708497795309325,False,C2,33,True,51,30.6,46,990.2,False,37.7,109,5.5,2
847,-0.42235666197915267,False,C2,34,True,52,30.7,46,990.0,False,38.1,110,5.3,2
848,-0.46391684731410715,False,C2,35,True,53,30.6,46,990.0,False,38.1,105,5.3,2
849,-0.5238854843055782,False,C2,36,True,54,30.5,45,989.9,False,37.9,99,4.4,2
850,-0.46233575330679955,False,C2,37,True,55,30.2,45,989.7,False,37.8,102,5.0,2
851,-0.47024122334334073,False,C2,38,True,56,30.0,47,989.7,False,37.7,109,6.0,2
852,0.11423178332228254,False,C3,1,True,1,28.9,52,991.7,False,34.6,111,2.0,3
853,-0.1292566938031596,False,C3,2,True,2,28.9,51,991.5,False,34.6,149,4.1,3
854,-0.1598621563731945,False,C3,3,True,3,28.9,50,991.5,False,34.7,105,4.5,3
855,-0.13964674013689984,False,C3,4,True,4,29.0,50,991.5,False,34.7,106,5.8,3
856,-0.07437014469232338,False,C3,5,True,5,29.1,50,991.5,False,34.7,112,6.4,3
857,-0.15161788047794605,False,C3,6,True,6,28.9,50,991.2,False,34.7,110,6.6,3
858,-0.1752213553013312,False,C3,7,True,7,28.8,51,991.4,False,35.1,104,6.0,3
859,-0.09740894308452598,False,C3,8,True,8,28.9,50,991.5,False,35.2,113,5.3,3
860,-0.13151539952788657,False,C3,9,True,9,29.0,50,991.4,False,35.3,112,7.5,3
861,-0.15907160936954154,False,C3,10,True,10,29.1,51,991.2,False,35.6,99,7.0,3
862,-0.11457510659244231,False,C3,11,True,11,29.1,51,991.4,False,35.9,103,4.5,3
863,-0.0661258687970733,False,C3,12,True,12,29.2,50,991.2,False,36.0,112,3.2,3
864,-0.09243979049012953,True,C3,13,True,13,29.3,48,991.4,False,36.4,124,5.3,3
865,2.7028214791443044,False,C2,1,True,14,29.5,49,991.0,False,36.4,103,7.0,2
