Circuit,Strategy,MeanZScore
Spa-Francorchamps,[21],-0.007455858867615461
Spa-Francorchamps,[16],-0.007151931989938021
Spa-Francorchamps,[19],-0.006656796205788851
Spa-Francorchamps,[18],-0.0066291396506130695
Spa-Francorchamps,[17],-0.006180685479193926
Spa-Francorchamps,[15],-0.0055228667333722115
Spa-Francorchamps,[24],-0.0052148462273180485
Spa-Francorchamps,[14],-0.003353311913087964
Spa-Francorchamps,[25],-0.0020643100142478943
Spa-Francorchamps,[13],-0.001394800841808319
Spa-Francorchamps,[26],-0.00032526999711990356
Spa-Francorchamps,[12],0.00029859962523914874
